Id_survey,Id_survey_no_dc,Institution_name,Uniq_db,Id_group,Date,Year_grp,Year,Month,Day,Julian_day,Pc_start,Pc_duration,N_samp_periods,N_reps,Rep_year_grp,Season,Rep_season,Spp_obs,Noise,Weather,Cows_50m,Registered_by,Sampling_day,Canopy_cover,Canopy_height_m
C-MB-A-ED_01,MB-A-ED_01,Cipav,Cipav mbd,C-MB-A-ED,2017-11-04,16-17,2017,11,4,308,06:16:00,00:30:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",89,21.8635595266845,5.6
C-MB-A-ED_02,MB-A-ED_02,Cipav,Cipav mbd,C-MB-A-ED,2017-11-04,16-17,2017,11,4,308,07:27:00,00:08:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",89,20.93789270178833,6.3
C-MB-A-ED_03,MB-A-ED_03,Cipav,Cipav mbd,C-MB-A-ED,2017-11-04,16-17,2017,11,4,308,07:44:00,00:18:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",89,21.405940594059448,6.7
C-MB-A-ED_04,MB-A-ED_04,Cipav,Cipav mbd,C-MB-A-ED,2017-11-04,16-17,2017,11,4,308,08:03:00,00:22:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",89,22.39782345828297,7.7
C-MB-A-LF_01,MB-A-LF_01,Cipav,Cipav mbd,C-MB-A-LF,2016-11-28,16-17,2016,11,28,333,06:24:00,01:30:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",63,59.357367529639625,14.3
C-MB-A-LF_02,MB-A-LF_02,Cipav,Cipav mbd,C-MB-A-LF,2016-11-28,16-17,2016,11,28,333,07:59:00,00:15:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",63,52.1720637989367,10.7
C-MB-A-LF_03,MB-A-LF_03,Cipav,Cipav mbd,C-MB-A-LF,2016-11-28,16-17,2016,11,28,333,08:26:00,00:11:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",63,41.0809374244987,9.4
C-MB-A-LF_04,MB-A-LF_04,Cipav,Cipav mbd,C-MB-A-LF,2016-11-28,16-17,2016,11,28,333,08:59:00,00:12:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",63,29.876328502415458,7
C-MB-A-VE_01,MB-A-VE_01,Cipav,Cipav mbd,C-MB-A-VE,2016-11-29,16-17,2016,11,29,334,06:27:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",64,40.83723738227472,10.3
C-MB-A-VE_02,MB-A-VE_02,Cipav,Cipav mbd,C-MB-A-VE,2016-11-29,16-17,2016,11,29,334,08:55:00,00:25:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",64,36.9903404974641,7.2
C-MB-A-VE_03,MB-A-VE_03,Cipav,Cipav mbd,C-MB-A-VE,2016-11-29,16-17,2016,11,29,334,07:47:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",64,33.91342200725482,9.5
C-MB-A-VE_04,MB-A-VE_04,Cipav,Cipav mbd,C-MB-A-VE,2016-11-29,16-17,2016,11,29,334,08:29:00,00:04:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",64,31.05940594059403,3.6
C-MB-B-LEST_01,MB-B-LEST_01,Cipav,Cipav mbd,C-MB-B-LEST,2017-04-07,16-17,2017,4,7,97,06:32:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,38.08514803034084,14.2
C-MB-B-LEST_02,MB-B-LEST_02,Cipav,Cipav mbd,C-MB-B-LEST,2017-04-07,16-17,2017,4,7,97,07:00:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,36.90926876986905,9
C-MB-B-LEST_03,MB-B-LEST_03,Cipav,Cipav mbd,C-MB-B-LEST,2017-04-07,16-17,2017,4,7,97,09:41:00,00:08:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,35.3717008797648,13.1
C-MB-B-LEST_04,MB-B-LEST_04,Cipav,Cipav mbd,C-MB-B-LEST,2017-04-07,16-17,2017,4,7,97,09:51:00,00:05:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,39.372616136919106,17.9
C-MB-B-LES_01,MB-B-LES_01,Cipav,Cipav mbd,C-MB-B-LES,2017-04-07,16-17,2017,4,7,97,10:00:00,00:26:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,3.4617647058824854,0
C-MB-B-LES_02,MB-B-LES_02,Cipav,Cipav mbd,C-MB-B-LES,2017-04-07,16-17,2017,4,7,97,10:29:00,00:17:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,2.614950980392187,0
C-MB-B-LES_03,MB-B-LES_03,Cipav,Cipav mbd,C-MB-B-LES,2017-04-07,16-17,2017,4,7,97,05:50:00,00:18:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,2.2019583843328703,13.7
C-MB-B-LES_04,MB-B-LES_04,Cipav,Cipav mbd,C-MB-B-LES,2017-04-07,16-17,2017,4,7,97,06:10:00,00:19:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,1.98749999999992,0
C-MB-B-LM_01,MB-B-LM_01,Cipav,Cipav mbd,C-MB-B-LM,2017-08-08,16-17,2017,8,8,220,07:15:00,00:17:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,13.576565557729664,11.6
C-MB-B-LM_02,MB-B-LM_02,Cipav,Cipav mbd,C-MB-B-LM,2017-08-08,16-17,2017,8,8,220,06:19:00,00:08:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,8.853264856933308,0
C-MB-B-LM_03,MB-B-LM_03,Cipav,Cipav mbd,C-MB-B-LM,2017-08-08,16-17,2017,8,8,220,09:07:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,7.111491442542506,0
C-MB-B-LM_04,MB-B-LM_04,Cipav,Cipav mbd,C-MB-B-LM,2017-08-08,16-17,2017,8,8,220,09:52:00,00:06:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",1,6.148347613218798,0
C-MB-B-LP_01,MB-B-LP_01,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,06:47:00,00:10:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,48.16801173881148,0
C-MB-B-LP_02,MB-B-LP_02,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,07:21:00,,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,47.372678396871855,16.6
C-MB-B-LP_03,MB-B-LP_03,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,08:15:00,00:27:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,43.54712362301072,0
C-MB-B-LP_04,MB-B-LP_04,Cipav,Cipav mbd,C-MB-B-LP,2017-08-09,16-17,2017,8,9,221,09:37:00,00:31:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",2,44.12744618395307,0
C-MB-BL-EP_01,MB-BL-EP_01,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,08:49:00,00:20:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.3475417776700915,0
C-MB-BL-EP_02,MB-BL-EP_02,Cipav,Cipav mbd,C-MB-BL-EP,2016-11-30,16-17,2016,11,30,335,08:21:00,00:21:00,1,1,1,Early,1,1,,,,"Alexander Velasquez, Amadeo Perdomo",65,5.114631197097993,2
