Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Amazona ochrocephala,Amazona ochrocephala,9,38.3,32.6,19.7,32.9,22,212.9,60.8,154.8,28.3,116.5,476.94,Forest,Semi_open,Herbivore,Omnivore,Insessorial,-17.01,12.46,-1.78,-64.37,6626117.83,Forest,Sedentary,Irregular,Herbivore,3,6,0.7447274948966939,2,4,3,16.48285725,1600,LC
Campylorhynchus griseus,Campylorhynchus griseus,4,29.6,19,4.5,6,29,83.8,10.6,73.2,12.6,82.2,42.4,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,1.21,12.46,7.65,-68.94,982980.09,Non-forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,3,5,4,2.604889661,2200,LC
Columbina squammata,Columbina squammata,10,15.7,9.3,2.8,3.6,15.8,95,19.8,74.5,20.9,90.7,52.9,Human Modified,Open,Herbivore,Granivore,Terrestrial,-27.98,12.46,-11.81,-50.4,4814670.86,Non-forest,Sedentary,Sedentary,Seed,2,4,1.0969100130080565,2,2,2,3.222785685,1300,LC
Columbina talpacoti,Columbina talpacoti,66,14.2,8.3,3.1,3.6,16.4,86.8,17.7,70.1,19.9,65.8,46.04,Human Modified,Open,Herbivore,Granivore,Terrestrial,-35.43,28.04,-7.62,-60.71,14617238.71,Non-forest,Partial,Sedentary,Seed,1,5,1.3010299956639813,1,3,2,2.668992315,2600,LC
Dendroplex picus,Dendroplex picus,20,28.6,22.6,4.8,6.5,20.7,98.2,18,83,17.8,83.4,41.34,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-21.87,12.46,-4.68,-59.42,9856567.73,Forest,Sedentary,Sedentary,Invertebrate,2,6,0.9208187539523752,2,3,2.5,3.640409969,1500,LC
Elaenia flavogaster,Elaenia flavogaster,80,12.7,7.2,5,4,21.4,77.4,12.7,64.5,16.4,70.6,24.8,Woodland,Open,Omnivore,Invertivore,Insessorial,-31,21.61,-6.86,-58.37,10327940.88,Forest,Sedentary,Sedentary,Invertebrate,2,5,1,1,3,2,3.564263024,2800,LC
Eupsittula pertinax,Eupsittula pertinax,5,24.5,19.6,11.7,19.9,12.3,136.4,56.1,79.9,41.2,109,83.99,Woodland,Semi_open,Herbivore,Omnivore,Insessorial,-9.58,12.63,6.29,-66.15,1467382.65,Forest,Sedentary,Altitudinal,Herbivore,3,6,0.7447274948966939,2,7,4.5,2.716883955,1600,LC
Milvago chimachima,Milvago chimachima,10,30.5,20.3,11.3,14.5,49.4,285.9,85.5,199.9,29.9,198.4,315.21,Grassland,Open,Carnivore,Omnivore,Terrestrial,-33.21,12.46,-9.32,-58.06,13624390.7,Non-forest,Sedentary,Sedentary,Carnivore,4,6,0.619788758288394,1,4,2.5,5.884648169,2800,LC
Crotophaga sulcirostris,Crotophaga sulcirostris,15,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103,19.3,162.7,82.04,Human Modified,Open,Carnivore,Invertivore,Terrestrial,-23.6,30.19,12.58,-85.96,2696933.46,Non-forest,Sedentary,Irregular,Invertebrate,3,3,1.045757490560675,3,4,3.5,3.192426485,2400,LC
Megaceryle torquata,Megaceryle torquata,22,83.6,65.2,14.9,21.1,14.3,191.3,46.5,143,24.5,120.2,317,Riverine,Open,Carnivore,Aquatic predator,Insessorial,-55.98,27.12,-12.31,-61.64,16295521.19,Forest,Sedentary,Migratory,Fish,3,5,0.8239087409443188,3,6,4.5,4.48502311,3800,LC
Jacana jacana,Jacana jacana,13,34,18.4,4.1,6.4,53.9,129,25.8,104.1,20,43.1,106.24,Wetland,Open,Omnivore,Omnivore,Terrestrial,-37.84,12.49,-10.23,-58,13881637.25,Non-forest,Sedentary,Irregular,Invertebrate,5,2,1,4,4,4,3.294872734,2700,LC
Egretta caerulea,Egretta caerulea,11,78.1,60.6,9.5,12.6,92,257.8,98.3,160.2,38,88,338.61,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-27.37,42.25,6.61,-72.72,5634382.17,Non-forest,Sedentary,Irregular,Carnivore,3,3,1.045757490560675,2,5,3.5,3.463573215,4050,LC
Tyrannus melancholicus,Tyrannus melancholicus,55,23.5,17.4,9.7,7.4,18.7,108.8,25.5,81.6,23.7,91.9,37.4,Human Modified,Open,Carnivore,Invertivore,Insessorial,-41.17,33.3,-8.87,-62.17,16505803.88,Non-forest,Sedentary,Migratory,Invertebrate,2,4,1.0969100130080565,1,4,2.5,2.553791151,3400,LC
Ortalis garrula,Ortalis garrula,7,28.8,14.8,8.9,10.4,60.6,213.6,25.3,188.3,11.9,249.1,532,Shrubland,Dense,Herbivore,Frugivore,Insessorial,6.9,11.36,8.91,-74.91,109708.02,Non-forest,Sedentary,Sedentary,Fruit,2,4,1.0969100130080565,3,3,3,4.345856726,1600,LC
Egretta thula,Egretta thula,8,86.3,69.2,9.4,12,93.3,252.8,79.8,167.3,31.9,110.3,371,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-43.4,45.35,3.56,-70.78,19270773.23,Non-forest,Partial,Sedentary,Fish,2,4,1.0969100130080565,2,6,4,4.106743696,4300,LC
Myiarchus tuberculifer,Myiarchus tuberculifer,49,21.1,12.9,7.1,5.2,20.1,80.4,15.5,66.8,18.8,76.5,17.7,Forest,Dense,Carnivore,Invertivore,Insessorial,-26.87,34.88,-0.3,-68.52,10588401.3,Forest,Sedentary,Altitudinal,Invertebrate,2,4,1.0969100130080565,3,4,3.5,2.87880942,3700,LC
Volatinia jacarina,Volatinia jacarina,159,10.4,7.1,4.3,5.6,16.8,47.8,7.1,43.2,14.1,42.8,9.94,Human Modified,Open,Herbivore,Granivore,Terrestrial,-34.7,28.32,-7.41,-61.58,15248241.41,Non-forest,Sedentary,Altitudinal,Seed,3,3,1.045757490560675,1,4,2.5,2.364836628,2400,LC
Ardea alba,Ardea alba,16,126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.33,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-52.61,57.34,10.02,28.87,74898555.49,Non-forest,Partial,Migratory,Fish,3,4,0.9208187539523752,1,6,3.5,6.036657469,3800,LC
Psarocolius decumanus,Psarocolius decumanus,14,51.8,34.1,11.2,17.8,46.5,198.6,49.1,146.2,24.8,170.3,206.3,Forest,Dense,Omnivore,Omnivore,Insessorial,-28.54,12.46,-7.1,-59.87,10475235.8,Forest,Sedentary,Irregular,Omnivore,4,5,0.6989700043360189,2,2,2,4.960828231,2700,LC
Pitangus sulphuratus,Pitangus sulphuratus,53,29.3,21.1,10.1,9.1,25.8,111.9,20.6,92.5,18.1,84.8,62.85,Human Modified,Open,Carnivore,Omnivore,Insessorial,-44.52,29.41,-9.51,-61.83,16133982.75,Non-forest,Sedentary,Irregular,Omnivore,4,7,0.5528419686577808,2,5,3.5,2.985169291,2700,LC
Rupornis magnirostris,Rupornis magnirostris,35,26.4,17.4,10.4,13.4,61.5,220.9,64.9,164.6,28,159.1,269,Forest,Dense,Carnivore,Vertivore,Insessorial,-38.24,25.35,-8.51,-60.46,15043360.16,Forest,Sedentary,Sedentary,Vertebrate,2,5,1,1,2,1.5,5.616660256,3100,LC
Chloroceryle americana,Chloroceryle americana,28,42,34.2,6.2,8.7,7.8,76.8,19.7,57.3,25.6,57.8,33.73,Riverine,Open,Carnivore,Aquatic predator,Insessorial,-36.5,32.45,-5.49,-64.46,16946715.06,Forest,Sedentary,Sedentary,Fish,2,5,1,2,6,4,2.714784873,2900,LC
Crotophaga major,Crotophaga major,10,47.2,32.8,13.7,21.5,41,193.6,46,147.8,23.7,252.2,148.25,Forest,Dense,Omnivore,Omnivore,Insessorial,-31.98,12.46,-8.14,-57.45,12117795.17,Forest,Sedentary,Sedentary,Invertebrate,4,6,0.619788758288394,3,7,5,4.072937691,2700,LC
Tolmomyias sulphurescens,Tolmomyias sulphurescens,46,13.4,7.4,5.4,4,18.6,63,10,54,15.7,55.5,14.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-30.92,21.34,-6.44,-61.06,12413249.74,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,3,2.5,2.665050787,2200,LC
Todirostrum nigriceps,Todirostrum nigriceps,4,14.4,8.1,4.9,2.7,15.2,37.9,6.2,31.6,16.4,23.8,6.5,Forest,Dense,Carnivore,Invertivore,Insessorial,-2.8,11.36,7.02,-76.05,401251.44,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,1,1,1,2.583294362,1600,LC
Dryocopus lineatus,Hylatomus lineatus,30,41.6,30.8,11,10.2,28.5,185.9,40.9,146.9,21.7,123.6,183.19,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-32.17,29.68,-5.73,-60.98,13770543.52,Forest,Sedentary,Sedentary,Invertebrate,3,5,0.8239087409443188,2,4,3,4.052540691,2400,LC
Campylorhynchus nuchalis,Campylorhynchus nuchalis,4,20.3,12.6,3.8,4.2,22.2,72.1,10.4,61.8,14.4,77.2,23.2,Woodland,Open,Carnivore,Invertivore,Insessorial,6.39,11.59,8.72,-68.15,506629.36,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,4,4,4,2.950250032,1100,LC
Machetornis rixosa,Machetornis rixosa,6,22.2,13.8,5.6,5,29.8,93.8,16.9,76.7,18,77.4,29.6,Grassland,Open,Carnivore,Invertivore,Terrestrial,-36.95,12.45,-16.02,-55.56,6805756.6,Non-forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,3,4,3.5,3.114968038,3500,LC
Icterus nigrogularis,Icterus nigrogularis,9,25.3,15.7,6.3,8.3,24.9,93.4,17.7,75.7,18.9,84.7,40.2,Woodland,Semi_open,Omnivore,Omnivore,Insessorial,-1.13,12.63,6.93,-65.32,1368029.34,Forest,Sedentary,Sedentary,Invertebrate,3,7,0.6777807052660807,1,4,2.5,3.557577288,1300,LC
Megarynchus pitangua,Megarynchus pitangua,42,33.7,24.7,13.9,10.4,19.2,113.5,26.6,87.5,23.3,85.8,69.91,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,-30.09,24.06,-6.11,-60.2,13243099.5,Forest,Sedentary,Migratory,Invertebrate,3,4,0.9208187539523752,2,4,3,3.544856751,2000,LC
Coragyps atratus,Coragyps atratus,8,60,35,14.8,16.1,76.1,410.1,58.4,352.6,14.3,180,1881.69,Human Modified,Open,Omnivore,Scavenger,Terrestrial,-50.31,41.66,-4.79,-67.36,21173636.93,Non-forest,Partial,Irregular,Scavenger,1,5,1.3010299956639813,2,4,3,14.19923167,4300,LC
Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,36,11.5,5,4.5,2.9,11,104.2,54.4,51.1,51.6,50.8,16.1,Shrubland,Open,Carnivore,Invertivore,Aerial,-36.3,15.93,-8.9,-58.53,13831495.26,Non-forest,Sedentary,Migratory,Invertebrate,1,3,1.5228787452803376,3,6,4.5,1.92088556,3900,LC
Galbula ruficauda,Galbula ruficauda,14,53.8,46.8,5.4,7,11.3,78.3,16.6,62.2,21.1,100.9,26.5,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-23.62,19.06,-8.28,-54.99,7606947.12,Forest,Sedentary,Sedentary,Invertebrate,1,7,1.1549019599857433,2,4,3,2.851099246,1500,LC
Cathartes aura,Cathartes aura,6,51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.24,Human Modified,Open,Scavenger,Scavenger,Terrestrial,-55.72,54.31,6.76,-77.26,28126442.74,Non-forest,Partial,Irregular,Scavenger,1,10,1,1,2,1.5,6.805193786,4600,LC
Thraupis glaucocolpa,Tangara glaucocolpa,5,17.3,10.1,6.5,7.5,20.5,88,19.7,68,22.4,60.6,31.6,Forest,Semi_open,Omnivore,Omnivore,Insessorial,7.11,12.46,9.86,-69.02,236044.28,Forest,Sedentary,Sedentary,Fruit,2,3,1.2218487496163564,NA,2,2,3.359791899,600,LC
Coereba flaveola,Coereba flaveola,111,13.2,9.9,3.6,3.9,16.9,54.6,11,45.9,19.2,34.1,10.01,Shrubland,Semi_open,Herbivore,Nectarivore,Insessorial,-33.01,27.23,-6.67,-60.02,10806908.19,Non-forest,Sedentary,Irregular,Nectar,3,5,0.8239087409443188,2,4,3,2.371433439,2100,LC
Cathartes burrovianus,Cathartes burrovianus,5,50.4,25.2,13.1,15.4,49,485.8,133.4,351.1,27.5,240.4,935,Grassland,Open,Scavenger,Scavenger,Terrestrial,-34.98,22.8,-7.88,-57.4,7839868.54,Non-forest,Sedentary,Sedentary,Scavenger,1,5,1.3010299956639813,2,2,2,5.985835628,2700,LC
Melanerpes rubricapillus,Melanerpes rubricapillus,9,23.2,17.3,5.7,6.4,20.2,104.9,27,81.7,24.8,59.5,52.33,Woodland,Semi_open,Omnivore,Invertivore,Insessorial,2.47,12.46,8.48,-69.65,877834.62,Forest,Sedentary,Sedentary,Invertebrate,2,5,1,3,4,3.5,2.563018894,2100,LC
Vanellus chilensis,Vanellus chilensis,16,35.1,19.2,6.4,7.1,74.6,226,72.7,153.7,31,101.3,327,Grassland,Open,Carnivore,Omnivore,Terrestrial,-55.98,14.75,-16.84,-58.64,13321164.29,Non-forest,Sedentary,Sedentary,Invertebrate,2,5,1,3,4,3.5,4.428666995,3600,LC
Zonotrichia capensis,Zonotrichia capensis,169,13.6,8.7,5.3,6.5,23.8,63.9,11.4,56.8,16.8,59.4,20.31,Shrubland,Open,Herbivore,Omnivore,Generalist,-55.72,19.19,-19.35,-58.42,12703362.39,Non-forest,Sedentary,Migratory,Omnivore,3,3,1.045757490560675,2,5,3.5,2.175487183,3900,LC
