Id_survey_no_dc,Id_scr,Ecoregion,Department,Long,Lat,Id_group_no_dc,Farm_name,Distance_farm,N_visits,Elev,Avg_temp,Tot_prec,Habitat,Habitat_sub
MB-A-ED_01,2299,Bajo magdalena,Atlantico,-75.0763,10.7972,MB-A-ED,El descanso,0,1,69,27.508,1051,Ssp,Arboles dispersos
MB-A-ED_02,2299,Bajo magdalena,Atlantico,-75.0748,10.7985,MB-A-ED,El descanso,0,1,69,27.467,1069,Bosque,Secundario
MB-A-ED_03,2299,Bajo magdalena,Atlantico,-75.0756,10.7986,MB-A-ED,El descanso,0,1,67,27.508,1051,Ssp,Cerca viva
MB-A-ED_04,2299,Bajo magdalena,Atlantico,-75.0758,10.8009,MB-A-ED,El descanso,0,1,61,27.517,1008,Ssp,Intensivo
MB-A-LF_01,573,Bajo magdalena,Atlantico,-75.1553,10.6336,MB-A-LF,La felicidad,0,1,95,27.217,1207,Bosque,Secundario
MB-A-LF_02,573,Bajo magdalena,Atlantico,-75.1568,10.6342,MB-A-LF,La felicidad,0,1,104,27.217,1207,Cultivos,NA
MB-A-LF_03,573,Bajo magdalena,Atlantico,-75.1589,10.6349,MB-A-LF,La felicidad,0,1,91,27.617,1146,Ssp,Arboles dispersos
MB-A-LF_04,573,Bajo magdalena,Atlantico,-75.1611,10.6347,MB-A-LF,La felicidad,0,1,37,27.617,1146,Ssp,Arboles dispersos
MB-A-VE_01,570,Bajo magdalena,Atlantico,-74.9527,10.8033,MB-A-VE,Villa edith,101,1,163,27.017,1007,Ssp,Arboles dispersos
MB-A-VE_02,570,Bajo magdalena,Atlantico,-74.9524,10.8069,MB-A-VE,Villa edith,0,1,162,27.017,1007,Ssp,Arboles dispersos
MB-A-VE_03,570,Bajo magdalena,Atlantico,-74.9498,10.8061,MB-A-VE,Villa edith,0,1,166,27.083,1076,Ssp,Banco de forraje
MB-A-VE_04,570,Bajo magdalena,Atlantico,-74.9489,10.8058,MB-A-VE,Villa edith,0,1,167,27.083,1076,Pastizales,NA
MB-B-LEST_01,2492,Cordillera oriental,Boyaca,-72.8969,6.0037,MB-B-LEST,La estancia,0,1,2737,12.383,1044,Bosque,Secundario
MB-B-LEST_02,2492,Cordillera oriental,Boyaca,-72.8978,6.0034,MB-B-LEST,La estancia,0,1,2725,12.383,1044,Ssp,Setos
MB-B-LEST_03,2492,Cordillera oriental,Boyaca,-72.8975,6.003,MB-B-LEST,La estancia,0,1,2715,12.383,1044,Pastizales,NA
MB-B-LEST_04,2492,Cordillera oriental,Boyaca,-72.8982,6.0042,MB-B-LEST,La estancia,0,1,2743,12.383,1044,Ssp,Banco de forraje
MB-B-LES_01,1775,Cordillera oriental,Boyaca,-73.0466,5.7894,MB-B-LES,La esperanza,0,1,2483,14.575,1297,Ssp,Setos
